"opiod","parenting.style"
0.84,"permissive"
0.78,"permissive"
0.82,"permissive"
0.82,"permissive"
0.8,"permissive"
0.81,"permissive"
0.77,"permissive"
0.78,"permissive"
0.85,"permissive"
0.86,"permissive"
0.8,"permissive"
0.87,"permissive"
0.8,"permissive"
0.81,"permissive"
0.84,"permissive"
0.87,"permissive"
0.87,"permissive"
0.87,"permissive"
0.81,"permissive"
0.85,"permissive"
0.87,"permissive"
0.85,"permissive"
0.83,"permissive"
0.85,"permissive"
0.85,"permissive"
0.87,"permissive"
0.8,"permissive"
0.82,"permissive"
0.82,"permissive"
0.84,"permissive"
0.83,"permissive"
0.86,"permissive"
0.78,"permissive"
0.85,"permissive"
0.85,"permissive"
0.87,"permissive"
0.84,"permissive"
0.82,"permissive"
0.82,"permissive"
0.79,"permissive"
0.8,"permissive"
0.8,"permissive"
0.81,"permissive"
0.82,"permissive"
0.83,"permissive"
0.86,"permissive"
0.83,"permissive"
0.84,"permissive"
0.86,"authoritative"
0.72,"authoritative"
0.77,"authoritative"
0.76,"authoritative"
0.77,"authoritative"
0.81,"authoritative"
0.76,"authoritative"
0.82,"authoritative"
0.81,"authoritative"
0.71,"authoritative"
0.77,"authoritative"
0.76,"authoritative"
0.76,"authoritative"
0.79,"authoritative"
0.8,"authoritative"
0.79,"authoritative"
0.82,"authoritative"
0.79,"authoritative"
0.81,"authoritative"
0.8,"authoritative"
0.72,"authoritarian"
0.77,"authoritarian"
0.82,"authoritarian"
0.76,"authoritarian"
0.71,"authoritarian"
0.74,"authoritarian"
0.66,"authoritarian"
0.74,"authoritarian"
0.78,"uninvolved"
0.8,"uninvolved"
0.8,"uninvolved"
0.82,"uninvolved"
